11842-2=seUterusLength,mm,cm,I,0
11865-3=seUterusWidth,mm,cm,I,0
11859-6=seUterusHeight,mm,cm,I,0
33192-6=seUterusCC,cc,cm3,F,1
12145-9=seEdometriumThickness,mm,mm,I,0
11840-6=seLeftOvaryLength,mm,cm,I,0
11829-9=seLeftOvaryWidth,mm,cm,I,0
11857-0=seLeftOvaryHeight,mm,cm,I,0
12164-0=seLeftOvaryCC,cc,cm3,F,1
11841-4=seRightOvaryLength,mm,cm,I,0
11830-7=seRightOvaryWidth,mm,cm,I,0
11858-8=seRightOvaryHeight,mm,cm,I,0
12165-7=seRightOvaryCC,cc,cm3,F,1
11820-8=edtBPD,mm,mm,F,1,T
11851-3=edtOFD,mm,cm,F,1,T
11984-2=edHC,mm,cm,F,1,T
11979-2=edAC,mm,cm,F,1,T
11966-9=edHL,mm,cm,F,1,T
11963-6=edFL,mm,cm,F,1,T
99008-0=edtCSP,mm,mm,F,1,T
11863-8=edtCerebDiam,mm,cm,F,1,T
11860-4=edtCysternaMagna,mm,mm,F,1,T
12145-9=seEdometriumThickness,mm,cm,I,0
33069-6=edNucTransMeasurement,mm,mm,F,1,T
11884-4=seUSSEDDGAWeeks,w,td,I,0
11884-4=seSSEDDGADays,d,td,I,0,T
99005-2=seEDDCalGAWeeks,w,td,I,0,T
99005-2=seEDDCalGADays,d,td,I,0
12146-7=edNucFoldThickness,mm,mm,F,1,T
11948-7=seHeartBPM,bpm,bpm,I,0,T
33196-7=edtLatFentDiam,mm,mm,F,1,T
11816-6=edYolkSac,cm,cm,F,1,T
11957-8=edtCRL,mm,mm,I,0,T
99508-0=edtNasalMeasure,mm,mm,F,1,T
11627-7=edtAmnioticFluidIndex1,cm,cm,I,0,F
12144-2=edtUmbilicalArtSD,cm,cm,F,1,T                       
11778-8=deSelectedEDD,date,date,D,0,F
11779-6=deMenstrualEDD,date,date,D,0,F
11778-8=deStatedEDD,date,date,D,0,F
11778-8=deMUFWEdd,date,date,D,0,F
11778-8=deOvulationEDD,date,date,D,0,F
11778-8=deIVFEDD,date,date,D,0,F
99005-2=seEDDCalGAWeeks,w,td,I,0,T
99005-2=seEDDCalGADays,d,td,I,0
99005-2=seStatedEDDGestAgeWeeks,w,td,I,0,T
99005-2=seStatedEDDGestAgeDays,d,td,I,0
99005-2=seMUFWGestAgeWeeks,w,td,I,0,T
99005-2=seMUFWGestAgeDays,d,td,I,0
99005-2=spOvualtionGestAgeWeeks,w,td,I,0,T
99005-2=spOvualtionGestAgeDays,d,td,I,0
99005-2=seIVFGAWeeks,w,td,I,0,T
99005-2=seIVFGADays,d,td,I,0
11781-2=deUSSEDD,date,date,D,0,T
11951-1=FETAL_ID
11727-5=seEstFetalWeight,g,g,I,0,T
11961-0=meCervicalLength,mm,mm,I,0,F
